Time,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Irradiance,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,Vdc,Ipv,Vpv,Temp,Pdc,ScenarioID,ProfileName,TempSetpoint
1.46666666666667,14339.8506178056,14339.7044903527,14339.6329747437,5.34355117201564,5.32286537952609,5.33726023461821,1000,228476.986530394,5539.13086256547,0.000698696952397004,0.000694921125524213,0.000693004847160358,0.0193036585595324,0.0197623697013748,0.0189921950220921,467.29298337814,501.734896009798,467.29298337814,55,234457.196421339,15,RampUp,55
1.48333333333333,14339.6396816745,14339.784345256,14339.6877376392,5.35962819929341,5.35997176423383,5.35136618031844,1000,227914.275557443,3908.57224723914,0.000695397724407579,0.00069813210727664,0.000689593453508046,0.018430092154576,0.0185626010217781,0.018401679416694,466.717953252826,502.367644990726,466.717953252826,55,234463.999050514,15,RampUp,55
1.5,14339.8070475717,14339.5934068836,14339.7812171796,5.33315528187467,5.3391418193955,5.35058378024786,1000,228558.570821794,5990.03159307475,0.000695076542032318,0.000691230115282906,0.000698648933716401,0.0197302977292571,0.0194420708715728,0.0191609474367968,467.075484743788,501.975635182051,467.075484743788,55,234460.513132227,15,RampUp,55
0.3,14338.8524988932,14338.9262658953,14338.9102012786,5.05680964078216,5.07569558245398,5.0578182261458,850,218042.02643159,4189.41197715116,0.000692717568475885,0.000677120502001457,0.000695523422867239,0.0171962868241483,0.0163817721228209,0.0174352918429079,525.601147997317,424.450125497177,525.601147997317,15,223091.473228922,16,ShallowCloud,15
0.316666666666667,14339.0384643308,14339.0614493149,14339.3037389463,5.09130905426315,5.10276034171527,5.10122948152292,850,221355.087992461,2559.4764146328,0.000706857934553164,0.00070134451130265,0.00069284883504389,0.0182610918533901,0.0165003447126758,0.0173886352080264,524.985622297934,424.958881796589,524.985622297934,15,223097.303011016,16,ShallowCloud,15
0.333333333333333,14339.0948969387,14338.9986384163,14339.0319243801,5.07765138520355,5.09303131894322,5.0952116726074,850,218636.385545893,4489.95860907974,0.000695478667948462,0.000684139043573092,0.000683230428906895,0.0168107669821622,0.017332446501537,0.0168199167599831,525.122378470957,424.848777613414,525.122378470957,15,223097.600590834,16,ShallowCloud,15
0.35,14339.1880285231,14339.1262233657,14339.1771792408,5.07650947233706,5.07005435469604,5.07740844705784,850,220242.838192487,4165.05282753105,0.00068708810811425,0.000674946880377808,0.000687252133049057,0.0172437252859056,0.0158708406086953,0.0169794123875391,525.690361412365,424.37382531158,525.690361412365,15,223089.229601992,16,ShallowCloud,15
0.366666666666667,14339.1901267784,14339.0951864494,14339.1759171561,5.10458417414319,5.1089030702998,5.11673632439168,850,219509.50427608,4888.01455587215,0.000686300272345639,0.000687754924570069,0.000677139258313352,0.0158533844106647,0.0160648760108308,0.0154397099688445,524.681549300701,425.207167035773,524.681549300701,15,223098.355174091,16,ShallowCloud,15
0.383333333333333,14339.1014736754,14339.1118689832,14339.1476722863,5.05537283981769,5.06148492801942,5.06170632031456,850,219309.338067289,4281.39885570916,0.000695705542050902,0.000692677293352488,0.000686684009948192,0.0172948730535756,0.016721181070954,0.0167030750204597,526.155919482196,423.977863917371,526.155919482196,15,223078.462829542,16,ShallowCloud,15
0.4,14339.1915202768,14339.1807013432,14339.2035199887,5.11723838183542,5.10215718377999,5.11035001480627,700,221548.837711394,2805.33557509633,0.000681789477667527,0.000682361825367236,0.000671430823733288,0.0162282804660086,0.0158855375769098,0.015743899857875,524.928506902447,424.98920843468,524.928506902447,15,223088.950633269,16,ShallowCloud,15
