Time,Irradiance,PV_Voltage,PV_Current,PV_Power,SOC,Vdc,Va,Vb,Vc,Ia,Ib,Ic,Vrms,Irms,Vpeak,Ipeak,ActivePower,ReactivePower,ApparentPower,PowerFactor
1.1,800,0.00317799359061217,317.382371260341,1.00863914163865,19.9989157430398,496.435970009969,0.000353286333713637,-132.547520588259,132.54668825575,-3.29801593261135e-07,-6.61437299967297,6.61437332976964,108.224257573163,5.40061307397505,132.547520588259,6.61437332976964,1753.43202110059,0.00649045825472244,1753.4320211126,0.999999999993149
1.2,800,78.1886915691609,144.883305251508,11328.2360678307,19.998913580022,281.567652922937,-0.00575652516372415,-132.542189886756,132.544628812384,-5.18649613889305e-07,-6.61414466200641,6.61414518093736,108.221240614042,5.40042671414229,132.544628812384,6.61414518093736,1753.32263565168,0.0560970822290245,1753.32263654908,0.999999999488169
1.3,800,0.00317507713859299,317.382371441931,1.00771351175771,19.9989114170101,559.156246328179,0.0173366964529499,-132.551840442512,132.543472542824,1.31234163399394e-07,-6.61464141152379,6.61464128060474,108.224708853029,5.40083204312464,132.551840442512,6.61464141152379,1753.51041792348,0.171332947264811,1753.51042629382,0.99999999522652
1.4,800,0.00317634612807234,317.382371681016,1.00811626740741,19.9989092540065,500.841634300098,0.000700646962336056,-132.548408112397,132.545474114511,-2.952731473112e-07,-6.61431954907285,6.61431984468085,108.224124238948,5.40056941766287,132.548408112397,6.61431984468085,1753.41568673435,0.0205380580028181,1753.41568685463,0.999999999931401
1.5,800,0.00317641262491009,317.382371700135,1.00813737239221,19.9989070910215,495.370397219147,0.00135064862957636,-132.548181226669,132.5467216701,-2.99379769934079e-07,-6.61422092540457,6.61422122505856,108.22454092274,5.40048889342668,132.548181226669,6.61422122505856,1753.39629367565,0.0159687291880507,1753.39629374837,0.999999999958528
1.6,800,0.0047964136650236,317.382206295541,1.52229635131127,19.9989049280451,519.095682230251,0.0033909338080854,-132.542722064254,132.536280214112,-1.89789846126546e-07,-6.61401648591294,6.61401667592902,108.218049567673,5.40032192452127,132.542722064254,6.61401667592902,1753.23691632185,0.0531575171795038,1753.23691712771,0.99999999954036
1.7,800,35.9187157784163,307.144444095272,11032.2339903777,19.9989027650775,508.438782929042,0.00210661661799528,-132.545734756829,132.533152611953,-1.52847566691885e-07,-6.61402305720929,6.61402321028521,108.21800273511,5.40032727488151,132.545734756829,6.61402321028521,1753.23789332383,0.0855459510413661,1753.23789541085,0.999999998809616
1.8,800,50.0386750865941,300.407022489709,15031.9693920937,19.9989006021235,503.2881275412,0.0014928823387648,-132.539697627368,132.539804885935,-2.94823543842547e-07,-6.61402511917922,6.61402541424413,108.218253741508,5.40032901643968,132.539804885935,6.61402541424413,1753.24252730992,0.0140351665612514,1753.2425273661,0.999999999967958
1.9,800,49.9508047073582,300.456068373584,15008.0223944696,19.9988984391745,500.363045129756,0.00319415397360396,-132.534491382142,132.545230837059,-3.72578660763309e-07,-6.61402583198092,6.61402620472436,108.218343537152,5.40032963015196,132.545230837059,6.61402620472436,1753.2441796963,0.0770402796010571,1753.24418138894,0.99999999903457
2,800,50.8653094358274,299.907410862539,15254.8832556209,19.9988962762326,495.436797013096,0.00420573057327048,-132.543032863586,132.536409310357,-1.72265393862808e-07,-6.61402619504143,6.6140263673806,108.218229165651,5.40032984477491,132.543032863586,6.6140263673806,1753.24239714592,0.0589174468810175,1753.24239813587,0.999999999435357
2.1,800,42.5720463128119,304.30541239184,12954.9041095847,19.9988941132907,508.90652496751,0.00173445989166708,-132.55105793908,132.527907208117,-5.30434073398641e-08,-6.61400704137581,6.61400709441016,108.21803477662,5.40031415716644,132.55105793908,6.61400709441016,1753.23414903261,0.15398420118296,1753.23415579473,0.999999996143063
2.2,800,69.1005988811428,281.579751949583,19457.3294925198,19.998891950353,505.255338473512,0.000435129222925693,-132.540329450622,132.539303047921,-3.0113043193348e-07,-6.61402416251973,6.61402446360457,108.218306805422,5.4003282377881,132.540329450622,6.61402446360457,1753.24313424266,0.0079784938200299,1753.24313426081,0.999999999989646
2.3,800,0.695974429688395,317.287922770007,220.824281096871,19.9988897874204,502.501863573212,0.00309790433934034,-132.530782672015,132.54894767811,-4.64972400102055e-07,-6.61401492039858,6.61401538548986,108.218347020931,5.40032075858314,132.54894767811,6.61401538548986,1753.24135327688,0.123549125092707,1753.24135763007,0.999999997517062
2.4,800,70.2364052603696,279.317455740334,19618.2540176735,19.9988876244933,496.175284755659,0.00464528477811718,-132.54136664784,132.538270426275,-1.97843051296921e-07,-6.61403117978647,6.61403137776037,108.218308712904,5.40033392526753,132.54136664784,6.61403137776037,1753.24501097288,0.0480791247303899,1753.24501163211,0.999999999623991
2.5,800,44.824195140896,303.225456265026,13591.8370233108,19.9988854615793,510.557398029232,0.00225563220267319,-132.551243034481,132.527936985786,-4.05362148377022e-08,-6.61398563931814,6.6139856800454,108.218122506942,5.40029667743518,132.551243034481,6.6139856800454,1753.22989533368,0.155589429944008,1753.22990223753,0.999999996062211
2.6,800,49.6439460402434,300.638207202727,14924.8669360077,19.998883298676,504.260417868781,0.000335414111847886,-132.54292709738,132.536536329737,-2.51967038596059e-07,-6.61402116796679,6.61402142014526,108.218237812822,5.40032577277992,132.54292709738,6.61402142014526,1753.24121572301,0.0424218046774378,1753.24121623623,0.999999999707272
2.7,800,47.3684123811018,301.905467827042,14300.7827001408,19.9988811357763,502.924053572967,0.00250570236178975,-132.531089583027,132.548610938808,-4.63109942732202e-07,-6.61402240535746,6.61402286865969,108.218334820785,5.40032686929609,132.548610938808,6.61402286865969,1753.24313986577,0.118189999988795,1753.24314384949,0.999999997727797
2.8,800,52.0113071090367,299.199223501021,15561.7427002969,19.9988789728853,496.365388280049,0.00462374593240702,-132.538534618279,132.541203540979,-2.58978371415149e-07,-6.61403157397816,6.61403183316631,108.218349978536,5.40033427211432,132.541203540979,6.61403183316631,1753.24579215911,0.0467446621190847,1753.24579278225,0.999999999644575
2.9,800,47.7845116141581,301.69236663891,14416.2223975598,19.9988768100008,515.816022821725,0.00282721423913938,-132.550793471448,132.528274470658,-3.68032515636074e-08,-6.61398412549163,6.61398416252886,108.218076727926,5.40029543989456,132.550793471448,6.61398416252886,1753.22875227758,0.151275776364166,1753.22875880393,0.999999996277527
